,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688981,中芯国际,-0.919,54.97,54.88,55.8,54.6,55.48,17740228,1.61915,976849240,0.0,4.175,43406238.874404,6022804.541
1,688819,天能股份,0.433,48.71,47.85,50.97,47.57,48.5,11369488,11.25042,563717158,0.0,7.034,4735099.1,492255.023139
2,688788,科思科技,1.782,102.8,101.0,104.4,99.22,101.0,454279,2.73146,46672009,25.92,7.258,776491.90496,170970.31912
3,688777,中控技术,0.453,73.13,72.05,73.88,72.01,72.8,718875,1.84172,52494553,0.0,15.284,3613236.292,285447.480692
4,688699,明微电子,0.484,66.4,65.03,67.6,64.01,66.08,783761,4.63372,51916824,45.793,9.414,493803.52,112311.01176
5,688698,伟创电气,-1.119,17.67,17.64,17.88,17.2,17.87,1893534,5.1702,33155962,41.093,7.212,318060.0,64714.586796
6,688696,极米科技,-2.9699999999999998,490.0,495.67,500.59,481.48,505.0,585804,5.66962,286543552,68.34,23.503,2450000.0,506284.66
7,688689,银河微电,1.701,23.32,22.55,23.54,22.5,22.93,1920170,6.57519,44624735,41.643,4.038,299428.8,68102.006984
8,688687,凯因科技,1.332,26.63,26.2,27.23,25.85,26.28,2037597,5.27551,54447331,60.523,4.1,452253.087786,102854.905111
9,688686,奥普特,-2.211,256.5,260.35,262.49,250.0,262.3,242426,1.42201,61977249,74.547,22.846,2115500.9355,437283.63675
10,688680,海优新材,0.675,113.36,111.0,113.98,110.55,112.6,724637,3.74833,81487227,104.0,11.063,952450.72,219150.55604
11,688679,通源环境,1.473,15.84,15.56,16.12,15.56,15.61,2311531,7.71695,36606680,17.032,2.255,208596.4452,47447.06472
12,688678,福立旺,0.198,20.28,20.41,20.91,20.1,20.24,2334554,6.61534,47991844,23.859,4.682,351553.8,71568.134196
13,688677,海泰新光,-0.434,71.08,70.6,74.86,67.3,71.39,2166252,12.21594,153699625,49.706,14.808,618253.84,126046.107136
14,688676,金盘科技,0.11900000000000001,16.87,16.65,17.24,16.62,16.85,4342124,12.62951,73681504,28.117,3.301,718155.9,58000.387669
